,latitude,longitude,stop name,stop status
0,40.687685,-73.850743,ATLANTIC AV/92 ST,at stop
1,40.691325,-73.837365,ATLANTIC AV/108 ST,at stop
2,40.702449,-73.816489,VAN WYCK EP SR W/JAMAICA AV,approaching
3,40.703754,-73.799145,JAMAICA AV/PARSONS BL,approaching
4,40.690999,-73.924699,BROADWAY/QUINCY ST,< 1 stop away
